FOLDER NAME,FILE NAME,START TIME,END TIME,SLIDING WINDOW TIME,TOL,PCA,BPM
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,65.0,155.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,70.0,160.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,75.0,165.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,80.0,170.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,85.0,175.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,90.0,180.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,95.0,185.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,100.0,190.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,105.0,195.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,110.0,200.0,90.0,0.27,3,59.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,115.0,205.0,90.0,0.27,3,120.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,120.0,210.0,90.0,0.27,3,120.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,125.0,215.0,90.0,0.27,3,61.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,130.0,220.0,90.0,0.27,3,61.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,135.0,225.0,90.0,0.27,3,61.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,140.0,230.0,90.0,0.27,3,61.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,145.0,235.0,90.0,0.27,3,61.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/007/,007.csv,150.0,240.0,90.0,0.27,3,61.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,0.0,90.0,90.0,0.27,3,68.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,5.0,95.0,90.0,0.27,3,63.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,10.0,100.0,90.0,0.27,3,55.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,15.0,105.0,90.0,0.27,3,140.66666666666669
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,20.0,110.0,90.0,0.27,3,140.66666666666669
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,25.0,115.0,90.0,0.27,3,140.66666666666669
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,30.0,120.0,90.0,0.27,3,49.333333333333336
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,35.0,125.0,90.0,0.27,3,140.66666666666669
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,40.0,130.0,90.0,0.27,3,90.66666666666666
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,45.0,135.0,90.0,0.27,3,140.66666666666669
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,50.0,140.0,90.0,0.27,3,90.66666666666666
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,55.0,145.0,90.0,0.27,3,140.66666666666669
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,60.0,150.0,90.0,0.27,3,97.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,65.0,155.0,90.0,0.27,3,97.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,70.0,160.0,90.0,0.27,3,97.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,75.0,165.0,90.0,0.27,3,97.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,80.0,170.0,90.0,0.27,3,119.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,85.0,175.0,90.0,0.27,3,46.666666666666664
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,90.0,180.0,90.0,0.27,3,141.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,95.0,185.0,90.0,0.27,3,119.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,100.0,190.0,90.0,0.27,3,115.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,105.0,195.0,90.0,0.27,3,73.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,110.0,200.0,90.0,0.27,3,73.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,115.0,205.0,90.0,0.27,3,147.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,120.0,210.0,90.0,0.27,3,76.66666666666667
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,125.0,215.0,90.0,0.27,3,147.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,130.0,220.0,90.0,0.27,3,155.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,135.0,225.0,90.0,0.27,3,68.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,140.0,230.0,90.0,0.27,3,72.66666666666667
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,145.0,235.0,90.0,0.27,3,114.66666666666667
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,150.0,240.0,90.0,0.27,3,161.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,155.0,245.0,90.0,0.27,3,161.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,0.0,90.0,90.0,0.27,4,52.666666666666664
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,5.0,95.0,90.0,0.27,4,86.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,10.0,100.0,90.0,0.27,4,85.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,15.0,105.0,90.0,0.27,4,85.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,20.0,110.0,90.0,0.27,4,71.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,25.0,115.0,90.0,0.27,4,85.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,30.0,120.0,90.0,0.27,4,150.66666666666666
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,35.0,125.0,90.0,0.27,4,71.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,40.0,130.0,90.0,0.27,4,71.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,45.0,135.0,90.0,0.27,4,71.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,50.0,140.0,90.0,0.27,4,71.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,55.0,145.0,90.0,0.27,4,129.33333333333331
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,60.0,150.0,90.0,0.27,4,88.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,65.0,155.0,90.0,0.27,4,71.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,70.0,160.0,90.0,0.27,4,88.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,75.0,165.0,90.0,0.27,4,54.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,80.0,170.0,90.0,0.27,4,156.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,85.0,175.0,90.0,0.27,4,156.0
